Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
CLB;Core Laboratories N.V. Common Stock;$26.87;-0.60;-2184%;1243802116.00;Netherlands;1995;70933;Energy;Oilfield Services/Equipment
CLMT;Calumet Specialty Products Partners L.P. Common Units;$14.39;1.09;8195%;1132151410.00;United States;2006;141163;Energy;Oil & Gas Production
CLR;Continental Resources Inc. Common Stock;$48.02;0.54;1137%;17555193618.00;United States;2007;447313;Energy;Oil & Gas Production
CNX;CNX Resources Corporation Common Stock;$14.56;0.54;3852%;3075068739.00;United States;1999;918615;Energy;Oil & Gas Production
COP;ConocoPhillips Common Stock;$73.06;0.06;0.082%;96362258103.00;United States;;2661677;Energy;Integrated oil Companies
CPE;Callon Petroleum Company Common Stock;$61.73;2.14;3591%;3447629574.00;United States;;539369;Energy;Oil & Gas Production
CRC;California Resources Corporation Common Stock;$46.08;1.78;4018%;3773005379.00;;2020;350108;Energy;Oil & Gas Production
CRK;Comstock Resources Inc. Common Stock;$9.59;0.41;4466%;2233747355.00;United States;;845436;Energy;Oil & Gas Production
CRT;Cross Timbers Royalty Trust Common Stock;$14.0701;0.1901;1.37%;84420600.00;United States;1992;4994;Energy;Oil & Gas Production
CTRA;Coterra Energy Inc. Common Stock;$20.745;0.475;2343%;16877668121.00;United States;;2786463;Energy;Oil & Gas Production
CVI;CVR Energy Inc. Common Stock;$18.165;0.215;1198%;1826138331.00;United States;2007;82677;Energy;Integrated oil Companies
CVX;Chevron Corporation Common Stock;$114.40;0.25;0.219%;220527269134.00;United States;;2624709;Energy;Integrated oil Companies
DEN;Denbury Inc. Common Stock;$86.22;0.47;0.548%;4321554794.00;;2020;195473;Energy;Oil & Gas Production
DK;Delek US Holdings Inc. Common Stock;$18.09;0.28;1572%;1340920110.00;United States;2017;340627;Energy;Integrated oil Companies
DKL;Delek Logistics Partners L.P. Common Units representing Limited Partner Interests;$46.865;0.435;0.937%;2036708987.00;United States;2012;21570;Energy;Oil & Gas Production
DMLP;Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests;$19.23;0.28;1478%;680833804.00;United States;;34045;Energy;Oil & Gas Production
DNOW;NOW Inc. Common Stock;$9.62;0.14;1477%;1063575954.00;;2014;601241;Energy;Metal Fabrications
DRQ;Dril-Quip Inc. Common Stock;$21.68;-0.11;-0.505%;767165987.00;United States;1997;93857;Energy;Metal Fabrications
DVN;Devon Energy Corporation Common Stock;$42.83;0.50;1181%;28995910000.00;United States;;2194304;Energy;Oil & Gas Production
DWSN;Dawson Geophysical Company Common Stock;$2.33;-0.01;-0.427%;55090366.00;United States;;23621;Energy;Oil & Gas Production
E;ENI S.p.A. Common Stock;$28.98;0.01;0.035%;51479337821.00;Italy;;137812;Energy;Oil & Gas Production
EC;Ecopetrol S.A. American Depositary Shares;$14.905;0.155;1051%;30642216710.00;Colombia;;349722;Energy;Oil & Gas Production
EGY;VAALCO Energy Inc.  Common Stock;$3.91;0.11;2895%;229169292.00;United States;;150384;Energy;Oil & Gas Production
ENB;Enbridge Inc Common Stock;$41.89;-0.31;-0.735%;84867569334.00;Canada;;1733022;Energy;Oil & Gas Production
ENBA;Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078;$26.6255;-0.1345;-0.503%;0.00;Canada;2018;6467;Energy;Oil & Gas Production
ENSV;Enservco Corporation Common Stock;$1.34;0.01;0.752%;15319853.00;United States;;44371;Energy;Oilfield Services/Equipment
EOG;EOG Resources Inc. Common Stock;$95.53;1.24;1315%;55893645885.00;United States;;1206261;Energy;Oil & Gas Production
EPM;Evolution Petroleum Corporation Inc. Common Stock;$5.835;-0.145;-2425%;196241255.00;United States;;77772;Energy;Oil & Gas Production
EQNR;Equinor ASA;$26.145;0.375;1455%;84732017760.00;Norway;;1457334;Energy;Integrated oil Companies
EQT;EQT Corporation Common Stock;$20.94;1.30;6619%;7914244899.00;United States;;2188778;Energy;Oil & Gas Production
ESTE;Earthstone Energy Inc. Class A Common Stock;$11.84;0.23;1981%;1037837130.00;United States;;71115;Energy;Oil & Gas Production
